grupo_controle,grupo_variante,metrica,n_pares,media_diaria_controle,media_diaria_variante,diferenca_media_diaria,lift_percentual,ic95_inferior,ic95_superior,estatistica_t,p_valor_t_pareado,estatistica_wilcoxon,p_valor_wilcoxon,significativo_5pct,direcao
Grupo 1,Grupo 2,compradores,61,130.98360655737704,89.37704918032787,-41.60655737704918,-31.76470588235294,-47.46554793247004,-35.74756682162832,-14.20475170860634,7.451090862330392e-21,0.0,1.1076272938713545e-11,True,REDUÇÃO
Grupo 1,Grupo 2,vendas totais,61,67111.77049180328,46934.737704918036,-20177.032786885247,-30.06481968665925,-24169.850526800492,-16184.215046970003,-10.108168558471093,1.4202526409680694e-14,42.0,8.604296668989055e-11,True,REDUÇÃO
Grupo 1,Grupo 2,receita_liquida,61,4697.868852459016,2346.8360655737706,-2351.032786885246,-50.04466622465715,-2656.583823486704,-2045.4817502837877,-15.391097393738082,1.6794780265235593e-22,0.0,1.110996052357415e-11,True,REDUÇÃO
Grupo 1,Grupo 2,ticket_medio,61,510.62396310839364,525.5923673491548,14.968404240761272,2.931394787984877,-6.905274056975644,36.84208253849819,1.368826312350107,0.17615665276373446,742.0,0.14382484948475913,False,AUMENTO
Grupo 1,Grupo 2,margem_liquida,61,0.07000103634631302,0.050002544256219764,-0.01999849209009325,-28.568851454077905,-0.020001468281390013,-0.019995515898796484,-13440.984191728161,4.463998041349726e-196,0.0,1.1111647363502784e-11,True,REDUÇÃO
Grupo 1,Grupo 2,receita_por_comprador,61,35.74419446759468,26.280907726831494,-9.463286740763191,-26.47503148893874,-10.775005656813713,-8.15156782471267,-14.430981839950805,3.56634947474978e-21,1.0,1.1678682193806253e-11,True,REDUÇÃO
Grupo 1,Grupo 3,compradores,61,130.98360655737704,82.44262295081967,-48.540983606557376,-37.05882352941177,-56.04766550898954,-41.03430170412521,-12.934666081317152,5.264546882562164e-19,0.0,1.1074591017888412e-11,True,REDUÇÃO
Grupo 1,Grupo 3,vendas totais,61,67111.77049180328,43114.147540983606,-23997.622950819674,-35.757696116437025,-28519.220073168613,-19476.025828470734,-10.616247229277054,2.1158921032608033e-15,17.0,2.5718892155430432e-11,True,REDUÇÃO
Grupo 1,Grupo 3,receita_liquida,61,4697.868852459016,862.1803278688525,-3835.688524590164,-81.64741598911262,-4255.702370023539,-3415.6746791567894,-18.26730114990904,3.43141544462068e-26,0.0,1.1111647363502784e-11,True,REDUÇÃO
Grupo 1,Grupo 3,ticket_medio,61,510.62396310839364,523.8683491642046,13.244386055810994,2.5937650820745985,-8.118077053778572,34.60684916540056,1.240152712982907,0.21974700235136824,759.0,0.18037943709807147,False,AUMENTO
Grupo 1,Grupo 3,margem_liquida,61,0.07000103634631302,0.01999694461253858,-0.05000409173377443,-71.4333591954145,-0.05000729957607753,-0.05000088389147133,-31180.79579231498,5.276670552345214e-218,0.0,1.1111647363502784e-11,True,REDUÇÃO
Grupo 1,Grupo 3,receita_por_comprador,61,35.74419446759468,10.47583922036298,-25.268355247231707,-70.6921938614108,-26.316075977745765,-24.22063451671765,-48.242088273008505,1.0561715223090883e-49,0.0,1.1111647363502784e-11,True,REDUÇÃO
